id,Crop,Commodity,Province,Region,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4
0,Abaca,Non-Food and Industrial Crops,Agusan del Norte,REGION XIII (CARAGA),110.41,135.16,163.9,138.61,80.1,117.76,168.5,142,78.32,110.03,215.46,125.36,31.06,131,225,134.18,35,144.1,230.49,137.45,75,145,341.38,164,116.19,155,345,177,125,162.64,355.52,195,140,171.13,382.12,207.88,142.32,175,385,285,200,210,390,390,210.1,224,398,387.35,172.49,170,360,390.83
1,Abaca,Non-Food and Industrial Crops,Agusan del Sur,REGION XIII (CARAGA),289.58,431.05,426.83,245.4,272.76,379.13,521.38,336.29,295.24,389.55,529.85,290.52,264.94,362.76,549.48,496.87,274.35,371.2,652.79,559.5,293.95,391.76,728.95,654.94,349.87,711,782.1,696.45,381.9,845.7,843.2,725.55,412.6,798.95,775.55,550.88,428.62,886.91,838.73,594.26,494.56,948.89,954.27,520.73,509.73,1027.96,881.93,566.49,568.08,988.32,879,554.67
2,Abaca,Non-Food and Industrial Crops,Aklan,REGION VI (WESTERN VISAYAS),225.9,247.25,390,226,219.3,231,577.85,389.23,485.7,550.23,504.54,191.19,254.28,347.26,440.65,313.21,356.93,301.21,257.09,292.3,315,287.31,451.87,426.68,529.82,612.97,643.99,674.5,687.83,746.68,724.7,642.69,698.72,772.59,662.55,600.55,630.73,644.71,520.49,713.42,429.22,449.43,649.18,677.37,530.46,834.02,1138.3,631.14,682.47,712.91,1088.71,704.96
3,Abaca,Non-Food and Industrial Crops,Albay,REGION V (BICOL REGION),453,446.44,355.95,217.67,443.94,437.51,348.83,210,430.62,481.26,383.71,220.05,452.15,524.57,402.89,237.65,488.32,577.03,100.72,202,486.86,567.74,102.53,208.03,511.2,635.87,112.78,218.43,408.96,597.72,118.42,229.35,384.42,645.54,128.98,249.17,417.71,697.18,150.03,258.14,396.53,573.98,138.84,103.63,346.96,449.31,124.19,111.62,401.38,554.95,141.26,119.35
4,Abaca,Non-Food and Industrial Crops,Antique,REGION VI (WESTERN VISAYAS),12.75,18,16.81,12.33,12.24,15.66,16.31,12.21,11.58,14.39,14.35,11.27,11.3,13.76,14.97,9.58,10.39,12.56,15.3,10.91,12.15,16.15,15.69,14.76,13.12,15.62,16,14.29,13.56,16.28,22,16.89,14.5,15.84,16,18.1,18.75,16.45,14.65,18.46,15,16.47,14.15,17.91,15.03,17.67,14.45,18.43,15.65,17.88,14.86,14.96
5,Abaca,Non-Food and Industrial Crops,Aurora,REGION III (CENTRAL LUZON),24,28,32,25,23.4,28.5,24.69,34,23.5,31.6,36.2,34.7,24,32.45,34.8,22,19.7,28.5,27,20,26,29.2,31.5,15,13,12.5,23.63,5,10,20,20,5.63,8.9,26,17.4,3.94,3.8,13.36,17.05,2.36,6.52,11.01,16.2,1.18,6.33,19.25,16.5,0.56,3.28,20.9,14.19,0.84
6,Abaca,Non-Food and Industrial Crops,Basilan,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),7.25,19.54,19,14.9,6.52,18,18.5,12.66,5.54,16,17,10,4.95,14,16,9.5,4.5,10,11,8,4.2,7.5,7,6,3.85,7,5.6,5,3.08,6.75,4.76,4,1.54,5.06,4.54,2,1.31,4.64,4.1,2.03,1.28,0,4.16,2.05,1.27,5.97,4.23,2.07,1.3,6.03,4.29,2.08
7,Abaca,Non-Food and Industrial Crops,Biliran,REGION VIII (EASTERN VISAYAS),3.2,15.85,24,32,3.3,15.88,52.21,55.61,3.35,16.95,23,55.6,3.8,36.5,30,11.12,2.3,29,27.5,11,21.25,59.5,30,12,25,60,31.5,15,27,62,30,14,18,46.5,22,12.5,16,35,18.5,11.5,21,28.5,15,11.3,20,35,24,11,21.45,41,27,10
8,Abaca,Non-Food and Industrial Crops,Bukidnon,REGION X (NORTHERN MINDANAO),340,410,395,310,345,400,450,320,350,380,395,322,360,385,400,325,500,665,550,545.69,505,675,570,567.32,530,690,585,580,577.99,755.56,592,592,609.55,789.79,601,598,620.35,805.98,615,605,630,837.83,647.58,794.9,726.77,1085.38,1200,802.82,966.98,998,1147.91,676.09
9,Abaca,Non-Food and Industrial Crops,Camarines Norte,REGION V (BICOL REGION),35,48,18,20,25,50,20,18,24,52,21,18.5,26.4,54,22,17.45,27.11,54.75,23.1,18,28.05,56.8,24.05,18.2,28.15,58,32,21,31.2,60.43,30.77,20.58,33.45,51.29,30.69,18.27,31.36,56.42,38.88,26.49,29.35,41.49,35,22.07,16.77,35,25,15.8,10.91,17.5,20,10
